28858f,403cb5,65f162,aa4250,ab2825,657be9,4bb4be,96f7cb,dc517a,e43ee3,b96e88,fdc842,80b07b,11859e,946ecc,5557d1, 
51c4a8,212168,cf0d02,80e9e2,26b0a3,517f83,495414,591535,6dd541,e05486,8fc4f9,32d327,ece56f,20a16f,87b0bc,7fc1d6, 
43f6f9,4930a5,40c2cc,ec2d7b,de8fee,482202,1005e9,233f21,0c01a7,c52b68,cd12f8,7a8086,91fd10,144dd3,5b3a06,6694c7, 
bdf0d3,01f0ad,a009be,7e5e31,4dab61,5dcc4b,b57f44,626ae7,0f6052,d6e092,56de5b,06c6fc,c8bf93,c22d7d,697911,de148e, 
83d5ff,519a62,1547b0,af0af5,b6f095,c7ef3d,1d2919,626f48,c5048d,4da447,6dc5a3,d81d10,9664f3,585b9c,090d79,a5558a, 
38be88,34296b,698a8a,cc539d,ea28c7,22446b,121942,4f36aa,596e41,ce37b3,dd50d0,fea7e2,e0793d,a3bb17,48b99a,66fd38, 
ce76f0,e50124,5a12df,9daa36,79b866,4683af,614765,d92344,6b3204,b1f92d,96012d,0dc4a7,03ce0f,911c74,77c89c,c6e856, 
fcccf3,3dd7a3,f0569e,dfbc18,06e01e,ed0085,350520,700836,361632,75309d,08964a,8b46d0,6ebf3d,490a09,6ffb49,c6b525, 
a49d87,fe8df9,7eaef8,00b963,7a1c06,32576c,2ea6f4,ece027,549f49,eba12e,496e50,cd3b1e,8f0f96,962415,4c906e,2e243a, 
16fbde,346786,97e942,59c48e,846776,1d58b7,616b21,4e373f,65ca3a,af9cfb,fec290,7564d1,4a7143,cb913c,9f5c48,4fc9cc, 
acefd1,b30459,249a1a,db71e5,54613f,6242b7,240a77,353518,246abb,245b55,04ed4a,61993e,1a1127,0427a7,dfeb9a,8914eb, 
ffd495,501194,cc31bc,76bac7,64fc19,c300e8,1dbca0,d78886,fed69b,431dc3,431626,0c2bd7,dd2db4,2e458d,f02d88,169fc3, 
a7c0da,d9ee45,8fc12c,50f375,436293,9eb79e,6245a9,463450,f0de90,6b79dc,d6f76c,592ad9,5e2ce7,fdfea1,b76fac,683fd5, 
7d4c0e,d4407c,d6e8c0,0800ac,ed4f03,7c428c,d1d464,23b098,f69af3,920b15,b31bc5,82a489,c4a573,52e43d,c9d899,82c5c2, 
c0cc81,e3a667,df3d45,0626b1,385125,6584a4,4d08a0,8aa31c,d1c60e,750607,2cd015,1659e9,fbd535,d5e958,8e623d,0a2780, 
99b1d4,649c67,48b8fc,bb70e4,b5acf2,c19b31,53afd2,5ce968,1c5658,37da8a,0c2c65,4222fb,a32f80,2e2a01,675052,f28d49, 
d29f7f,76aca7,1e3aae,b45604,499c5f,6742af,a25855,714d8f,3cb637,b64bae,6d3213,a081b8,50fed6,99297f,437cd5,95f17a, 
